iri	label	type	parentlabel	category	definition	min	max	average	median	upper_quartile	lower_quartile	number_distinct_values	distinct_values	variable	replaces
EUPATH_0011995	Household observation details		Household	Household											
EUPATH_0000302	Dwelling facilities		Household	Household											
ENVO_00000009	Country	string	Geographic location	Household								1	["Uganda"]	["country"]	ENVO_00000004
ENVO_00000501	Bed	string	Assets	Household								2	["No","Yes"]	["bed"]	
ENVO_00003064	Drinking water source	string	Household water	Household								8	["Borehole","Open public well","Piped into yard/compound","Protected public well","Protected spring","Protected well in yard/compound","Public tap","Unprotected spring"]	["swater"]	
ENVO_01000577	Radio	string	Assets	Household								2	["No","Yes"]	["radio"]	
ENVO_01000578	Cassette player	string	Assets	Household								2	["No","Yes"]	["cassette"]	
ENVO_01000579	Television	string	Assets	Household								2	["No","Yes"]	["tv"]	
ENVO_01000581	Mobile phone	string	Assets	Household								2	["No","Yes"]	["mobile"]	
ENVO_01000583	Refrigerator	string	Assets	Household								1	["No"]	["fridge"]	
ENVO_01000584	Table	string	Assets	Household								2	["No","Yes"]	["tble"]	
ENVO_01000586	Chair	string	Assets	Household								2	["No","Yes"]	["chair"]	
ENVO_01000588	Sofa	string	Assets	Household								2	["No","Yes"]	["sofa"]	
ENVO_01000595	Cupboard	string	Assets	Household								2	["No","Yes"]	["cupboard"]	
ENVO_01000596	Clock	string	Assets	Household								2	["No","Yes"]	["clock"]	
ENVO_01000614	Bicycle	string	Assets	Household								2	["No","Yes"]	["bicycle"]	
ENVO_01000615	Motorcycle or scooter	string	Assets	Household								2	["No","Yes"]	["scooter"]	
ENVO_01000744	Dwelling type	string	Dwelling characteristics	Household								2	["Modern","Traditional"]	["housetype"]	
ENVO_01000825	Eaves	string	Dwelling characteristics	Household								2	["Closed","Open"]	["eaves"]	EUPATH_0000015
EUPATH_0000003	Roof material	string	Dwelling characteristics	Household								2	["Iron sheets","Thatched (including papyrus)"]	["mmroof"]	
EUPATH_0000006	Floor material	string	Dwelling characteristics	Household								3	["Cement/concrete","Earth and dung","Earth or sand"]	["mmfloor"]	
EUPATH_0000009	Wall material	string	Dwelling characteristics	Household								5	["Burnt bricks with mud","Burnt bricks with plaster/cement","Mud and poles","Un-burnt bricks","Un-burnt bricks with plaster/cement"]	["mmewalls"]	
EUPATH_0000014	Household wealth index, numerical	number	Socioeconomic status	Household		-3.358	2.553	1.1500674545e-17	0.2815	1.082	-0.893	51		["wealthindex"]	
EUPATH_0000019	Persons living in house count	integer	Socioeconomic factors	Household		3	8	5.825	6	7	5	6	["3","4","5","6","7","8"]	["npeople"]	
EUPATH_0000023	Cooking fuel	string	Dwelling facilities	Household								2	["Charcoal","Firewood"]	["fueltype"]	
EUPATH_0000025	Sleeping rooms in dwelling count	integer	Dwelling characteristics	Household		1	3	1.8	2	2	1	3	["1","2","3"]	["hhrooms","rooms"]	
EUPATH_0000026	Acres	number	Socioeconomic factors	Household		0	10	2.290625	2	3	1	15		["numaland"]	
EUPATH_0000027	Meals per day	integer	Food security	Household		2	3	2.4875	2	3	2	2	["2","3"]	["hhmeals"]	
EUPATH_0000028	Meat meals per week	integer	Food security	Household		0	5	0.8125	1	1	0	5	["0","1","2","3","5"]	["hhnumt"]	
EUPATH_0000029	Food problems per week	string	Food security	Household								5	["Never","Seldom","Sometimes","Often","Always"]	["hhpsf"]	
EUPATH_0000143	Household wealth index, categorical	string	Socioeconomic status	Household								3	["Least poor","Middle","Poorest"]	["wealthcat"]	
EUPATH_0000167	Bank account	string	Assets	Household								2	["No","Yes"]	["bankacco"]	
EUPATH_0000170	Boat without a motor	string	Assets	Household								1	["No"]	["nomboat"]	
EUPATH_0000171	Car or truck	string	Assets	Household								1	["No"]	["car"]	
EUPATH_0000179	Boat with a motor	string	Assets	Household								1	["No"]	["mboat"]	
EUPATH_0000186	Watch	string	Assets	Household								2	["No","Yes"]	["watch"]	
EUPATH_0000201	Sleeping places count	integer	Dwelling characteristics	Household		1	7	3.0375	3	4	2	7	["1","2","3","4","5","6","7"]	["hhspaces"]	
EUPATH_0000335	Human waste facilities	string	Waste disposal	Household								4	["Covered pit latrine no slab","Covered pit latrine w/slab","No facility/bush/field","Uncovered pit latrine no slab"]	["tfaclty"]	
EUPATH_0000390	Last fumigation date	date	Household vector intervention	Household		2017-06-09	2017-08-26	2017-07-25	2017-07-26	2017-08-06	2017-07-16	40		["datespray"]	
EUPATH_0000400	Long-lasting ITN bednet count	integer	Household vector intervention	Household		0	10	3.5	4	4	2	9	["0","1","2","3","4","5","6","7","10"]	["LLIN"]	
EUPATH_0000441	Sprayed in the last 12 months	string	Household vector intervention	Household	Insecticide residual spraying in last 12 months							2	["No","Yes"]	["gpspray"]	
EUPATH_0020101	Household status in PRISM1	string	Household administrative information	Household								2	["Enrolled","Not enrolled"]	["hhstatus"]	
EUPATH_0020171	Sleeping rooms with windows	string	Dwelling characteristics	Household								2	["No","Yes"]	["windows"]	
EUPATH_0020205	Internet device	string	Assets	Household								1	["No"]	["internet"]	
EUPATH_0020212	Windows covered	string	Dwelling characteristics	Household								3	["No","Not applicable","Yes"]	["covered"]	
EUPATH_0020213	Health facility distance	number	Dwelling environment	Household	Distance to the nearest health facility	0.2	5	1.85375	1	3	1	14		["dhfcty"]	
