iri	label	type	parentlabel	category	definition	min	max	average	median	upper_quartile	lower_quartile	number_distinct_values	distinct_values	variable	replaces
EUPATH_0000059	Non-malaria medication	string	Treatment	Participant repeated measure								86	["Amoxicillin caps (250 mg)","Amoxicillin syrup (125 mg/ 5 ml)","Ampicillin","Ampiclox caps (500 mg)","Ampiclox syrup (250 mg/ 5 ml)","Aprinox (Bendrofluazide)","Artenum/Artemether (25mg)","Artesunate","Atenolol","Azithromycin","Benzathine penicillin injection (2.4 mu)","Benzyl Penicillin injecion","Betamethasone  skin cream (1%)","Betamethasone/neomycin eye drops","Bisacodyl tablets (5 mg)","Bromocriptine","Burnem cream","Calamine lotion","Cefixime","Ceftriaxone injection (1 g)","Cefuroxime","Cephalexin syrup (125mg/5ml)","Cetrizine tablets (10 mg)","Chloramphenicol eye/ear drops (1%)","Chloramphenicol injection","Chlorpheniramine tablets (4 mg)","Ciprofloxacin tablets (500 mg)","Clotrimazole mouth paint","Clotrimazole Pessary (100 mg)","Clotrimazole skin cream (1%)","Coartem (Artemether-lumefantrine)","Cough expectorant","Cough linctus","Dexamethasone","Dexona eye/ear drops","Dextrose solution (5%)","Dextrose solution (50%)","Diclofenac gel","Diclofenac injection (75mg/2ml)","Diclofenac tablets (50 mg)","Diphenhydramine tablets","Doxycycline","ERHZ - ethambutol/rifampicin/isoniazid/pyrazinamide","Erythromycin tablets (250 mg)","Ferrous sulfate/Folic acid","Fluconazole caps (50, 100, 150 mg)","Folic Acid tablets (1 mg)","Gentamicin eye/ear drops","Gentamicin injection (80 mg/ 2 ml)","Griseofulvin tablets (500 mg)","Haemoforte syrup","Hydrocortisone injection","Ibuprofen","Imipramine tablets (50 mg)","Ketoconazole","Lasix","Magnesium sulfate, injectable","Magnesium triscilicate suspension","Magnesium triscilicate tablets (120 mg)","Mebendazole tablets (100 mg)","Metoclopramide tablets (10 mg)","Metronidazole injection","Metronidazole syrup (200mg/5mL)","Metronidazole tablets (200 mg)","Multivitamin","Nifedipine","Nitrofurantoin","Normal saline solution (0.90%)","Omeprazole (20mg)","Oracure gel","ORS","Paracetamol","Piritex syrup","Prednisolone tablets (5 mg)","Promethazine tablets (25 mg)","Quinine injection (300 mg/ 2 ml)","Ringer's lactate solution","Salbutamol tablets (4 mg)","Tenofovir/Lamivudine (TDF/3TC) (300/300)","Tetracycline eye ointment","Tramadol","Trimethoprim-Sulfamethoxazole (TS)","Vitamin A caps (200000 iu)","Vitamin B complex","Vitamin C / Ascorbic Acid tablets (300 mg)","Zinc gluconate"]	["med6code","med7code","med5code","med4code","med8code","med3code","med1code","med2code"]	
EUPATH_0000090	Malaria diagnosis	string	Diagnosis	Participant repeated measure	Study participants found to have a fever (tympanic temperature > 38.0 C) or a history of fever in the previous 24 hours at the time of any clinic visit had a thick blood smear read immediately. If the thick blood smear was positive by light microscopy, then the patient was diagnosed with malaria and managed according to national guidelines							2	["No","Yes"]	["anymalaria"]	
EUPATH_0000097	Febrile	string	Symptoms	Participant repeated measure								2	["No","Yes"]	["febrile"]	
EUPATH_0000100	Subjective fever	string	Symptoms	Participant repeated measure								2	["No","Yes"]	["fever"]	
EUPATH_0000154	Abdominal pain duration	integer	Signs and symptoms	Participant repeated measure		1	14	3.16014234875445	3	4	2	8	["1","2","3","4","5","6","7","14"]	["apainduration"]	
EUPATH_0000155	Anorexia duration	integer	Signs and symptoms	Participant repeated measure		1	14	2.64220183486239	2	4	2	8	["1","2","3","4","5","6","7","14"]	["aduration"]	
EUPATH_0000156	Cough duration	integer	Signs and symptoms	Participant repeated measure		1	31	3.27389951089373	3	4	2	12		["cduration"]	
EUPATH_0000157	Diarrhea duration	integer	Signs and symptoms	Participant repeated measure		1	8	2.21153846153846	2	2.5	2	7	["1","2","3","4","5","7","8"]	["dduration"]	
EUPATH_0000158	Fatigue duration	integer	Signs and symptoms	Participant repeated measure		1	7	1.81560283687943	2	2	1	5	["1","2","3","4","7"]	["fmduration"]	
EUPATH_0000159	Headache duration	integer	Signs and symptoms	Participant repeated measure		1	7	2.2	2	3	2	7	["1","2","3","4","5","6","7"]	["hduration"]	
EUPATH_0000160	Jaundice duration	integer	Signs and symptoms	Participant repeated measure		1	1	1	1			1	["1"]	["jduration"]	
EUPATH_0000161	Joint pains duration	integer	Signs and symptoms	Participant repeated measure		1	14	2.39130434782609	2	3	2	8	["1","2","3","4","5","6","7","14"]	["djointpains"]	
EUPATH_0000162	Muscle aches duration	integer	Signs and symptoms	Participant repeated measure		1	5	2.24528301886792	2	3	2	5	["1","2","3","4","5"]	["mduration"]	
EUPATH_0000163	Seizures duration	integer	Signs and symptoms	Participant repeated measure		1	1	1	1			1	["1"]	["sduration"]	
EUPATH_0000164	Subjective fever duration	integer	Signs and symptoms	Participant repeated measure		1	5	1.6023102310231	2	2	1	5	["1","2","3","4","5"]	["fduration"]	
EUPATH_0000165	Vomiting duration	integer	Signs and symptoms	Participant repeated measure		1	4	1.33333333333333	1	2	1	4	["1","2","3","4"]	["vduration"]	
EUPATH_0000191	Time since enrollment	integer	Observation details	Participant repeated measure		0	757	353.170490906605	343	532	168	733		["n"]	
EUPATH_0000216	ITN last night	string	Personal vector intervention	Participant repeated measure	Asked at clinic visits							2	["No","Yes"]	["itnlastnight"]	
EUPATH_0000317	Other diagnosis	string	Diagnosis	Participant repeated measure								84	["Abdominal pain - unspecified","Abscess","Anaemia - general","Arthritis","Asthma exacerbation","Bacterial skin infection","Bacterial vaginosis","Balanitis","Burns","Candidiasis - perianal","Candidiasis - vaginal","Carbuncle/furuncle","Cellulitis","Chicken pox","Common cold / flu","Conjunctivitis","Constipation","Dehydration","Dental abscess","Dental caries","Dermatitis - unspecified","Diabetes mellitus","Diarrhea - acute","Dysentery","Dysmenorrhagia","Dyspepsia / gastritis","Fever without source (FWS)","Folliculitis","Foreign body","Fungal skin infection","Gastroenteritis","Glossitis","Headache - unspecified","Helminth infection","Hepatitis","Hepatosplenomegaly","Hernia - inguinal","Hernia - others (femoral, hiatal)","Herpes Simplex - orolabial","Hypertension","Hypoglycaemia","Incomplete abortion","Liver disease","Lymphadenitis","Malaria","Mastitis","Measles","Measles-like illness","Not Applicable","Oral ulcers - single episode","Otitis externa","Otitis media - nonsuppurative","Otitis media - suppurative","Pain","Paralysis","Pelvic Inflammatory Disease","Pelvic inflammatory disease","Peptic ulcer disease","Periodontitis - unspecified","Pharyngitis","Pneumonia","Pneumonia - severe","Poisoning","Postpartum hemorrhage","Pruritis","Pustular skin infection","Respiratory failure","Soft tissue injury","Splenomegaly","Stye","Syphillis","Threatened abortion","Tinea capitis","Tinea Capitis","Tonsillitis","Torticolis","Trichomonas","Tuberculosis - pulmonary","Upper respiratory tract infection (URTI)","Urinary tract infection","Viral exanthem (not otherwise specified)","Visceral larva migrans","Vulvovaginitis, unexplained","Wound"]	["dx5code","dx1code","dx2code","dx7code","dx8code","dx3code","dx4code","dx6code"]	
EUPATH_0000319	Hospital admission date	date	Hospitalization	Participant repeated measure		2017-12-08	2019-10-22	2018-08-31	2018-07-24	2018-11-13	2018-04-26	22		["hospdate"]	
EUPATH_0000338	Malaria diagnosis and parasite status	string	Diagnosis	Participant repeated measure	Derived variable based on 'Malaria diagnosis' (anymalaria) and 'Plasmodium asexual stages, by microscopy' (BSdich). If no malaria was diagnosed, but parasites were identified by blood smear, the participant has 'Asymptomatic parasitemia'. If no malaria was diagnosed and no parasites were seen on blood smear, the participant has 'Negative blood smear'. If a blood smear wasn't done, then the participant has 'Blood smear not indicated'							4	["Blood smear not indicated","Negative blood smear","Asymptomatic parasitemia","Malaria"]	["malariacat"]	
EUPATH_0000428	Treated with antimalarials	string	Clinical history	Participant repeated measure								2	["No","Yes"]	["osantimalarial"]	EUPATH_0020168
EUPATH_0000638	Diagnosis at hospitalization	string	Hospitalization	Participant repeated measure								20	["Burns","Chest infection","Complicated malaria","Dehydration","Dehydration and severe vomiting","Dehydration, severe vomiting","Excerbation of gastritis, gastroenteritis","Gastroenteritis with severe abdominal pain","Hypoglycaemia","Measles, pnuemonia,dehydration","Pneumonia","Pv bleeding","Pv bleeding, fever, lap","Respiratory failure","Severe gastritis","Severe malaria with vomiting and lethargy","Severe pneumonia","Severe pneumonia, difficulty in breathing","Severe pv bleeding","Swollen and tender right knee- unable to use"]	["roa"]	
EUPATH_0004991	Observation date	date	Observation details	Participant repeated measure		2017-09-27	2019-11-06	2018-10-23	2018-10-21	2019-04-25	2018-04-25	764		["date"]	EUPATH_0000091
EUPATH_0010075	Height	integer	Anthropometry	Participant repeated measure		12	192	135.787131831785	138	163	111	135		["height"]	
EUPATH_0010367	Age group	string	Demographics	Participant repeated measure								3	["<5 years","5-15 years","16 years or older"]	["agecat"]	EUPATH_0020222
EUPATH_0010995	Hospitalized	string	Hospitalization	Participant repeated measure								1	["Yes"]	["hospitalized"]	
EUPATH_0020006	Convulsions (1-2) over 24 hours	string	Complicated malaria signs	Participant repeated measure								1	["No"]	["convulsions"]	
EUPATH_0020057	Celebral malaria	string	Severe malaria signs	Participant repeated measure								1	["No"]	["cerebral"]	
EUPATH_0020059	Child bearing age	string	Obstetrics	Participant repeated measure	Only assessed for women							2	["Not a woman of childbearing age","Woman of childbearing age"]	["childbearing"]	
EUPATH_0020102	Lethargy	string	Complicated malaria signs	Participant repeated measure								2	["No","Yes"]	["lethargy"]	
EUPATH_0020104	LLIN observed	string	Personal vector intervention	Participant repeated measure	Interviewer observed a long-lasting insecticide treated net hanging over the sleeping area							3	["Missing data","No","Yes"]	["observed"]	
EUPATH_0020109	Convulsions (>3) over 24 hours	string	Severe malaria signs	Participant repeated measure								1	["No"]	["multipleconv"]	
EUPATH_0020122	Total female Anopheles count	integer	CDC light trap	Participant repeated measure	Total number of female anopheles caught in light trap	0	169	2.17707967707968	0	1	0	69		["totalanopheles"]	
EUPATH_0020132	Other health facility antimalarial dose	string	Clinical history	Participant repeated measure		1	1	1	1			3	["1","120 mg","180 mg"]	["dose1"]	
EUPATH_0020133	Other health facility antimalarial treatment	string	Clinical history	Participant repeated measure								3	["Artemether-lumefantrine","IM quinine","IV artesunate"]	["antimalarial1"]	
EUPATH_0020134	Other health facility blood smear done	string	Clinical history	Participant repeated measure								2	["No","Yes"]	["bsdone1"]	
EUPATH_0020135	Other health facility diagnosis	string	Clinical history	Participant repeated measure								14	["Abortion","Bronchitis","Dehydration","Diarrhoea","Ear infection","Fever","Headache","Malaria","Pain in right clavicle","Pneumonia","Puncture wound","Soft tissue injury","Tinea pedis","Uti"]	["diagnosis1"]	
EUPATH_0020136	Other health facility last antimalarial date	date	Clinical history	Participant repeated measure		2017-11-26	2019-09-14	2018-06-09	2018-03-19	2018-05-14	2018-01-05	5	["2017-11-26","2018-01-05","2018-03-19","2018-05-14","2019-09-14"]	["lgdate1"]	
EUPATH_0020137	Other health facility visit date	date	Clinical history	Participant repeated measure		2017-10-23	2019-09-21	2018-10-19	2018-10-26	2019-04-28	2018-05-17	31		["cdate1"]	
EUPATH_0020142	Other severe disease	string	Severe malaria signs	Participant repeated measure								1	["No"]	["other"]	
EUPATH_0020163	Out of bed time	number	Activity	Participant repeated measure	Asked when setting light traps at participant's home during entomology observations.	0	13.333	10.5351061279637	10	11.667	10	10	["0.000","8.333","8.833","9.300","10.000","10.100","10.500","11.667","12.167","13.333"]	["timeoutofbed"]	
EUPATH_0020169	Sleeping area ID	string	Activity	Participant repeated measure	Asked when setting light traps at participant's home during entomology observations.							4	["A","B","C","Missing data"]	["sleepingarea"]	
EUPATH_0020170	Sleeping room number	integer	Activity	Participant repeated measure	Asked when setting light traps at participant's home during entomology observations.	1	4	1.54295906381868	1	2	1	4	["1","2","3","4"]	["roomnumi"]	
EUPATH_0020181	Traveled since last clinic visit	string	Travel details	Participant repeated measure								2	["No","Yes"]	["travelout"]	
EUPATH_0020182	Severe anemia (hemoglobin <5 mg/dL)	string	Severe malaria signs	Participant repeated measure								1	["No"]	["severeanemia"]	
EUPATH_0020191	Unable to breastfeed or drink	string	Complicated malaria signs	Participant repeated measure								1	["No"]	["unabletodrink"]	
EUPATH_0020192	Unable to sit	string	Complicated malaria signs	Participant repeated measure								2	["No","Yes"]	["unabletosit"]	
EUPATH_0020202	Vomiting everything	string	Complicated malaria signs	Participant repeated measure								2	["No","Yes"]	["vomitingc"]	
EUPATH_0020236	Malaria follow up day	integer	Diagnosis	Participant repeated measure		0	14	6.98076923076923	7	11	3	15		["malariafuday"]	
EUPATH_0020252	Respiratory distress	string	Severe malaria signs	Participant repeated measure								1	["No"]	["distress"]	
EUPATH_0020256	Jaundice	string	Severe malaria signs	Participant repeated measure								2	["No","Yes"]	["jaundicec"]	
EUPATH_0020257	LLIN last night	string	Personal vector intervention	Participant repeated measure	Asked when setting light traps at participant?s home							3	["Missing data","No","Yes"]	["llin"]	
EUPATH_0020260	Mosquitoes tested for sporozoites count	integer	CDC light trap	Participant repeated measure	Number of Anopheles female Mosquitoes that came from the room where the participant was sleeping and were tested for sporozoites.	0	169	2.17655317655318	0	1	0	69		["sporozoitetested"]	
EUPATH_0020261	Mosquitoes with sporozoites count	integer	CDC light trap	Participant repeated measure	Number of Anopheles female Mosquitoes that came from the room where the participant was sleeping and were found to have sporozoites.	0	1	0.00078985475449	0	0	0	2	["0","1"]	["sporozoitepositive"]	
EUPATH_0020268	Slept in dwelling last night	string	Activity	Participant repeated measure	Asked when collecting light traps at participant's home during entomology observations.							2	["No","Yes"]	["slept"]	
EUPATH_0021086	Systolic blood pressure	integer	Physical examination	Participant repeated measure		92	165	120.764705882353	117	138	104	14		["sbp"]	
EUPATH_0021087	Diastolic blood pressure	integer	Physical examination	Participant repeated measure		55	112	81	77	92	72	16		["dbp"]	
EUPATH_0021099	Visited other health facility	string	Clinical history	Participant repeated measure								2	["No","Yes"]	["careoutside"]	
EUPATH_0021100	Other health facility name	string	Clinical history	Participant repeated measure								9	["Clinic","Goria M. Centre","Home","Hospital","Kirewa","Maternity Nagongera Health Centre IV","Outreach","Pokongo Health Centre II","Tororo hospital"]	["wcaregiven1"]	
HP_0000952	Jaundice	string	Symptoms	Participant repeated measure								3	["Cannot assess","No","Yes"]	["jaundice"]	
HP_0002013	Vomiting	string	Symptoms	Participant repeated measure								2	["No","Yes"]	["vomiting"]	
HP_0002014	Diarrhea	string	Symptoms	Participant repeated measure								2	["No","Yes"]	["diarrhea"]	DOID_13250
HP_0002027	Abdominal pain	string	Symptoms	Participant repeated measure								3	["Cannot assess","No","Yes"]	["abdominalpain"]	
HP_0002315	Headache	string	Symptoms	Participant repeated measure								3	["Cannot assess","No","Yes"]	["headache"]	
HP_0002829	Joint pains	string	Symptoms	Participant repeated measure								3	["Cannot assess","No","Yes"]	["jointpains"]	SYMP_0000064
HP_0003326	Muscle aches	string	Symptoms	Participant repeated measure								3	["Cannot assess","No","Yes"]	["muscleaches"]	HP_0003326
IAO_0000414	Weight	number	Anthropometry	Participant repeated measure		4	86	32.5630953318114	27	49	16	93		["weight"]	EUPATH_0000732
NCIT_C64593	Bed time	number	Activity	Participant repeated measure	Asked when setting light traps at participant's home during entomology observations.	0	23	20.8845622878036	21	21	20	15		["timetobed"]	
NCIT_C69121	Trimester	string	Pregnancy	Participant repeated measure								3	["1st trimester","2nd trimester","3rd trimester"]	["trimister"]	
OBI_0001169	Age	number	Demographics	Participant repeated measure		0.08	76.05	16.8955998906058	9.7	28	4.74	5796		["ageyrs"]	EUPATH_0000113
SYMP_0000124	Seizures	string	Symptoms	Participant repeated measure								3	["Cannot assess","No","Yes"]	["seizure"]	
SYMP_0000523	Anorexia	string	Symptoms	Participant repeated measure								3	["Cannot assess","No","Yes"]	["anorexia"]	
SYMP_0000614	Cough	string	Symptoms	Participant repeated measure								3	["Cannot assess","No","Yes"]	["cough"]	
SYMP_0019177	Fatigue	string	Symptoms	Participant repeated measure								3	["Cannot assess","No","Yes"]	["fatigue"]	
UBERON_0009097	Pregnant	string	Obstetrics	Participant repeated measure								2	["Not pregnant","Pregnant"]	["pregnant"]	
OBI_0003073	Temperature	number	Physical examination	Participant repeated measure		34.5	40.4	36.6712964222555	36.6	36.9	36.3	54		["temperature"]	EUPATH_0000110
EUPATH_0020267	Incident malaria	string	Diagnosis	Participant repeated measure								2	["No","Yes"]	["incidentmalaria"]	EUPATH_0000036
EUPATH_0020067	Dead mosquitoes count	integer	Membrane feeding	Sample		0	100	7.29773462783171	5	8	3	43		["deadmosq"]	
EUPATH_0020081	Fed mosquitoes count	integer	Membrane feeding	Sample		20	134	78.2459546925566	78	86	70	75		["numfed"]	
EUPATH_0020085	Feeding method	string	Membrane feeding	Sample								1	["Membrane feeding"]	["feedingmethod"]	
EUPATH_0020108	Media type	string	Membrane feeding	Sample								2	["Serum replacement","Whole blood"]	["media"]	
EUPATH_0020111	Mosquito dissection date	date	Membrane feeding	Sample		2017-11-03	2019-11-15	2019-01-04	2019-01-24	2019-07-11	2018-08-06	370		["datedis"]	
EUPATH_0020118	Mosquito source	string	Membrane feeding	Sample								2	["Colony","Wild collected"]	["source"]	
EUPATH_0020120	Mosquitoes dissected count	integer	Membrane feeding	Sample		7	100	67.131067961165	68	79	60	81		["numdissected"]	
EUPATH_0020121	Mosquitoes not feeding	string	Membrane feeding	Sample								2	["No","Yes"]	["notfeeding"]	
EUPATH_0020125	Blood microbiology tests procedures		Blood microbiology test	Sample											
EUPATH_0020166	Plasmodium, by qPCR result	number	Raw eukaryota data for blood	Sample		0	156409.4	157.563792269013	0	0	0	1299		["qpcr"]	
EUPATH_0020167	Plasmodium ovale	string	Plasmodium species, by microscopy	Sample								1	["No"]	["ovale"]	
EUPATH_0020193	Plasmodium male gametocytes, by qPCR result	number	Raw eukaryota data for blood	Sample		0	1027.0703	3.01819335616438	0.0212	0.29795	0	735		["gametocyte_male_uL"]	
EUPATH_0020194	Plasmodium female gametocytes, by qPCR result	number	Raw eukaryota data for blood	Sample		0	889.0325	3.68103191780822	0.05315	0.5727	0	809		["gametocyte_female_uL"]	
EUPATH_0020195	Plasmodium gametocytes, by qPCR result	number	Raw eukaryota data for blood	Sample		0	1804.6042	6.71351360218729	0.0881	0.88665	0	884		["gametocyte_total_uL"]	
EUPATH_0020200	Unknown species	string	Plasmodium species, by microscopy	Sample								1	["No"]	["unknown"]	
EUPATH_0020209	Anemia (hemoglobin <10 g/dL)	string	Blood test	Sample								2	["No","Yes"]	["anemia10"]	
EUPATH_0020223	Asexual Plasmodium categorization, by microscopy	string	Plasmodium in blood	Sample								4	["Negative","(10-100] per uL blood","(100-1000] per uL blood",">1000 per uL blood"]	["BScat"]	
OBI_0002649	Blood microbiology test		Laboratory test	Sample											
OBI_0100051	Sample type	string	Sample details	Sample	A thick smear, filter paper, WB qPCR (2 aliquots), and WB RNA Protect (3 aliquots) were always collected.							13	["10 mL EDTA for hemocue, 2 aliquots plasma, 2 aliquots Buffy coat, 1 aliquot RBC pellet","2 mL EDTA + 10 mL EDTA + 3 mL heparin for hemocue, PBMCs, MACs, and membrane feeding","2 mL EDTA + 10 mL EDTA for hemocue and PBMCs","2 mL EDTA + 10 mL EDTA for hemocue, PBMCs, and MACs","2 mL EDTA + 6 mL EDTA for hemocue and PBMCs","4 mL EDTA + 3 mL heparin for hemocue, membrane feeding, 2 aliquots plasma, 1 aliquot RBC pellet","4 mL EDTA for 2 aliquots plasma, 1 aliquot RBC pellet","4 mL EDTA for hemocue, 2 aliquots plasma, 2 aliquots Buffy coat, 1 aliquot RBC pellet","6 mL EDTA + 3 mL heparin for MACs and membrane feeding, 2 aliquots plasma, 1 aliquot RBC pellet","6 mL EDTA for 2 aliquots plasma, 1 aliquot RBC pellet","6 mL EDTA for hemocue, 2 aliquots plasma, 1 aliquot RBC pellet","6 mL EDTA for MACs, 2 aliquots plasma, 1 aliquot RBC pellet","Missing"]	["labalgorithm"]	
EUPATH_0000048	Plasmodium asexual stages, by microscopy	string	Plasmodium in blood	Sample								2	["No","Yes"]	["BSdich"]	
EUPATH_0000092	Plasmodium asexual stages, by microscopy result	integer	Raw eukaryota data for blood	Sample		0	209120	106.560520148182	0	0	0	102		["parasitedensity"]	
OBI_0000070	Laboratory test		Sample	Sample											OGMS_0000056
CMO_0000026	Hemoglobin	number	Blood test	Sample		6.3	20	14.0929961089494	14	15.3	12.9	123		["hemoglobin"]	EUPATH_0000047
OBI_0003040	Blood test		Laboratory test	Sample											EUPATH_0011795
OBI_0003244	Raw test result for blood		Blood microbiology test	Sample											
OBI_0003044	Plasmodium species, by qPCR	string	Plasmodium in blood	Sample								4	["P. falciparum","P. falciparum+P. ovale+P. malariae","P. malariae","P. ovale"]	["speciesPCR"]	EUPATH_0000433
EUPATH_0000207	Plasmodium gametocytes, by microscopy	string	Plasmodium in blood	Sample								2	["No","Yes"]	["gamdich"]	
EUPATH_0000423	Plasmodium species, by microscopy		Plasmodium in blood	Sample											
EUPATH_0011161	Anemia (hemoglobin <11 g/dL)	string	Blood test	Sample								2	["No","Yes"]	["anemia11"]	
EUPATH_0011996	Sample details		Sample	Sample											
EUPATH_0020054	Blood leaking from feeders	string	Membrane feeding	Sample								2	["No","Yes"]	["leaking"]	
EUPATH_0020055	Blood smear reading	string	Blood eukaryote testing	Sample								2	["Routine","Urgent"]	["bsreading"]	
EUPATH_0020239	Membrane feeding		Sample	Sample											
EUPATH_0020240	Membrane feeding performed	string	Membrane feeding	Sample								1	["Yes"]	["MFdone"]	
